"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Jesse Scholtens","SDP","0","0","4.40","0","0","0","1.0","1","0","0","1","0","1.38","7.42","3.25","4.55","0.0","0.0","999.0","sa918144"
"Cole Stapler","ARI","0","0","4.61","0","0","0","1.0","1","1","0","1","0","1.37","7.17","2.70","4.55","0.0","0.0","999.0","sa738639"
"Tyler Skaggs","","0","0","4.39","0","0","0","1.0","1","0","0","1","0","1.33","8.55","3.17","4.59","0.0","0.0","999.0","10190"
"Freddy Garcia","","0","0","4.65","0","0","0","1.0","1","1","0","1","0","1.32","7.38","2.27","4.61","0.0","0.0","999.0","1077"
"Francisley Bueno","","0","0","4.50","0","0","0","1.0","1","0","0","1","0","1.38","7.19","2.93","4.62","0.0","0.0","999.0","5980"
"Brett Conine","HOU","0","0","4.47","0","0","0","1.0","1","0","0","1","0","1.38","7.95","3.47","4.62","0.0","0.0","999.0","sa3008024"
"Zach Lee","ARI","0","0","4.68","0","0","0","1.0","1","1","0","1","0","1.41","6.71","2.86","4.65","0.0","0.0","999.0","11468"
"Dakota Hudson","STL","0","0","4.44","0","0","0","1.0","1","0","0","1","0","1.48","7.14","4.10","4.65","0.0","0.0","599.6","19206"
"Tylor Megill","NYM","0","0","4.47","0","0","0","1.0","1","0","0","1","0","1.40","8.78","4.02","4.66","0.0","0.0","999.0","sa3007988"
"Pedro Avila","SDP","0","0","4.48","0","0","0","1.0","1","0","0","1","0","1.41","8.43","4.11","4.67","0.0","0.0","999.0","18864"
"CC Sabathia","","0","0","4.63","0","0","0","1.0","1","1","0","1","0","1.40","7.97","3.29","4.68","0.0","0.0","999.0","404"
"Yonny Chirinos","TBR","0","0","4.49","0","0","0","1.0","1","0","0","1","0","1.33","7.62","2.89","4.69","0.0","0.0","999.0","16401"
"Raul Valdes","","0","0","4.55","0","0","0","1.0","1","1","0","1","0","1.36","7.74","2.95","4.69","0.0","0.0","999.0","1953"
"Nathan Karns","","0","0","4.71","0","0","0","1.0","1","1","0","1","0","1.39","8.43","3.47","4.70","0.0","0.0","999.0","12638"
"Tsuyoshi Wada","","0","0","4.59","0","0","0","1.0","1","1","0","1","0","1.38","7.98","3.19","4.70","0.0","0.0","999.0","13046"
