"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Matt Reynolds","CHW","2","7","6","1","0","0","0","1","1","1","2","0","0",".221",".298",".333",".631",".280","999.0","13788"
"Donnie Walton","","6","27","24","6","1","0","0","3","2","2","5","0","0",".229",".300",".330",".630",".280","999.0","19314"
"Alex Jackson","ATL","32","131","118","24","5","0","5","14","17","8","51","0","0",".200",".268",".383",".651",".280","599.8","17276"
"Cedric Mullins II","BAL","89","374","341","78","17","2","8","42","30","25","81","10","3",".228",".284",".358",".643",".280","476.3","17929"
"Juan Lagares","LAA","26","112","102","24","4","1","2","12","10","8","26","2","1",".235",".294",".348",".642",".279","999.0","5384"
"Taylor Trammell","SEA","104","435","387","82","16","2","10","46","36","42","132","9","2",".211",".293",".338",".630",".279","999.0","sa917943"
"Kyle Garlick","MIN","19","83","76","16","4","0","3","9","10","5","30","0","0",".209",".268",".383",".651",".279","600.3","18063"
"Micker Adolfo","CHW","6","28","25","5","1","0","1","3","3","2","11","0","0",".203",".276",".361",".638",".279","999.0","sa830303"
"Roman Quinn","PHI","50","221","201","45","8","2","5","28","17","16","68","13","3",".224",".287",".350",".637",".279","564.9","13546"
"Reese McGuire","TOR","13","51","46","10","2","0","1","5","5","4","11","0","0",".223",".286",".353",".639",".279","601.0","15674"
"Jose Rondon","STL","3","14","13","3","1","0","0","1","1","1","4","0","0",".226",".279",".363",".642",".279","999.0","14140"
"Charlie Culberson","TEX","44","184","170","38","7","1","5","19","18","11","51","2","1",".226",".277",".370",".647",".279","999.0","3298"
"Roberto Perez","CLE","96","375","326","66","11","1","11","39","35","38","122","1","0",".202",".289",".342",".631",".279","535.4","2900"
"Austin Hedges","CLE","50","196","177","36","7","0","8","20","23","14","60","1","0",".203",".270",".378",".648",".278","599.8","12976"
"Edmundo Sosa","STL","18","78","72","17","3","0","2","8","7","4","19","1","0",".238",".282",".359",".642",".278","999.0","17022"
"Cam Gallagher","KCR","37","144","130","29","6","0","3","13","14","11","29","0","0",".226",".290",".344",".634",".278","598.7","12981"
"Sheldon Neuse","","6","29","26","6","1","0","1","3","3","2","9","0","0",".228",".284",".355",".639",".278","600.9","19635"
"John Hicks","TEX","2","6","5","1","0","0","0","1","1","0","2","0","0",".219",".268",".375",".643",".277","999.0","12547"
"Alexander De Goti","HOU","2","7","6","1","0","0","0","1","1","0","2","0","0",".224",".285",".348",".633",".277","999.0","sa919320"
"Nicky Lopez","KCR","76","322","292","71","12","2","2","32","25","24","50","5","2",".243",".303",".321",".624",".277","599.3","19339"
"Patrick Higgins","CHC","2","6","5","1","0","0","0","1","1","0","1","0","0",".226",".295",".330",".624",".277","999.0","sa875573"
"Vimael Machin","OAK","23","96","86","20","4","0","1","9","8","9","18","0","0",".228",".303",".323",".626",".277","999.0","17684"
"Kelvin Gutierrez","","3","14","13","3","1","0","0","1","1","1","4","0","0",".232",".289",".340",".629",".277","999.0","17468"
"Cole Tucker","PIT","42","180","164","37","8","1","3","18","16","13","45","4","1",".227",".288",".343",".632",".277","600.1","17326"
"Jose Rojas","LAA","32","139","128","28","6","0","4","15","15","9","39","1","0",".216",".272",".369",".641",".277","999.0","sa918928"
"Tyler Wade","NYY","37","161","145","32","6","1","3","18","13","13","43","4","1",".220",".290",".336",".627",".276","599.8","15730"
"Anthony Alford","PIT","91","388","349","75","16","2","7","42","32","31","128","13","3",".216",".289",".336",".625",".276","580.0","14329"
"Brian O'Grady","","5","22","19","4","1","0","1","2","2","2","7","0","0",".196",".275",".361",".636",".276","999.0","16729"
"Grayson Greiner","DET","42","163","148","31","6","1","5","16","17","12","49","0","0",".209",".275",".358",".633",".276","599.8","17062"
"Austin Allen","OAK","16","63","58","13","3","0","2","6","7","4","17","0","0",".219",".276",".363",".639",".276","600.4","18083"
"Yu-Cheng Chang","CLE","36","153","137","28","7","1","4","16","15","13","48","1","0",".206",".281",".350",".630",".276","600.5","14773"
"Eli White","TEX","50","211","192","42","9","1","4","21","18","15","64","3","1",".219",".284",".343",".627",".276","999.0","19346"
"Rafael Ortega","CHC","24","106","96","21","5","1","2","11","9","9","23","2","1",".224",".292",".331",".624",".276","999.0","10323"
"Tony Wolters","CHC","21","84","74","17","3","0","1","8","7","7","19","0","0",".225",".305",".312",".617",".275","600.8","11470"
"Andrew Stevenson","WSN","55","242","221","51","10","1","4","26","20","17","69","5","2",".229",".289",".337",".625",".275","580.6","17932"
"Tyrone Taylor","MIL","5","21","20","4","1","0","1","2","2","1","5","0","0",".216",".270",".366",".636",".275","600.6","13675"
"Steve Wilkerson","","3","14","12","3","1","0","0","1","1","1","4","0","0",".218",".281",".345",".626",".274","999.0","16041"
"Beau Taylor","CLE","16","63","55","11","2","0","1","6","5","7","20","0","0",".202",".297",".312",".609",".274","999.0","12384"
"Garrett Stubbs","HOU","5","19","17","4","1","0","0","2","2","2","4","0","0",".218",".290",".328",".618",".273","999.0","18067"
"Sam Haggerty","SEA","23","95","84","17","4","1","2","10","7","9","30","3","1",".207",".289",".325",".614",".273","600.7","18054"
"Tyler Heineman","STL","8","32","29","6","1","0","1","3","3","2","6","0","0",".221",".286",".334",".620",".273","999.0","13897"
"Dustin Garneau","DET","8","31","28","5","1","0","1","3","3","3","9","0","0",".196",".273",".348",".621",".272","999.0","9433"
"Ronnie Dawson","HOU","6","28","25","5","1","0","1","3","3","2","10","1","0",".200",".276",".344",".620",".272","999.0","sa873674"
